Genes	First.Protein.Description	Detection	Median.Abundance	Peptides	Precursors
AFM	Afamin	1	237.974689094806	25	30
CST3	Cystatin-C	0.899547511312217	74.8243202494231	4	4
C5	Complement C5	1	411.484552913265	62	79
AMBP	Protein AMBP	1	1821.11455991397	21	25
CD14	Monocyte differentiation antigen CD14	0.997285067873303	737.028117985658	10	10
VWF	von Willebrand factor	0.933031674208145	2078.77484733733	55	65
A2M;PZP	Alpha-2-macroglobulin	1	3195.18728916414	5	9
GSN	Gelsolin	1	732.308256377187	25	31
FCGBP	IgGFc-binding protein	0.953846153846154	304.590542723483	20	20
IGHV3-13	Immunoglobulin heavy variable 3-13	0.872398190045249	301.180330504674	3	3
CFH	Complement factor H	1	1475.13708784735	64	83
AZGP1	Zinc-alpha-2-glycoprotein	1	1186.36746633626	17	21
ACTA2;ACTB;ACTG1;ACTG2	Actin, cytoplasmic 1	0.905882352941176	97.851454822117	5	6
CPN2	Carboxypeptidase N subunit 2	1	177.61442320681	9	11
PGLYRP2	N-acetylmuramoyl-L-alanine amidase	1	296.037077921219	11	14
PF4	Platelet factor 4	0.533031674208145	40.0411370962426	7	9
IGLL5	Immunoglobulin lambda-like polypeptide 5	1	9537.57950096279	5	6
APOA1	Apolipoprotein A-I	1	25920.5485431209	42	65
FGB	Fibrinogen beta chain	0.999095022624434	14842.8598958648	55	107
CFB	Complement factor B	1	1275.36407942187	51	66
FGG	Isoform Gamma-A of Fibrinogen gamma chain	0.989140271493213	14994.1444944776	45	69
FBLN1	Fibulin-1	1	224.515430615357	13	16
C6	Complement component C6	1	315.450487411076	22	25
APOA4	Apolipoprotein A-IV	1	842.553272656165	43	59
C8A	Complement component C8 alpha chain	1	259.372937622185	14	16
CNDP1	Beta-Ala-His dipeptidase	0.881447963800905	28.9531240821691	4	4
LRG1	Leucine-rich alpha-2-glycoprotein	1	1476.8429844942	15	18
IGLV7-43	Immunoglobulin lambda variable 7-43	0.310407239819005	39.0921909715108	1	1
CRP	C-reactive protein	0.944796380090498	449.618356637995	7	8
C4BPB	C4b-binding protein beta chain	1	294.533246718945	7	8
S100A8	Protein S100-A8	0.513122171945701	49.9299721984235	3	3
IGHG1;IGHG3	Immunoglobulin heavy constant gamma 1	0.999095022624434	14593.521760946	3	3
AGT	Angiotensinogen	1	439.311829411634	13	16
